#FILE	NUM_FOUND	(Bla)blaOXA-114	(Bla)blaOXA-243a	AXC	AXC-1	AXC-2	AXC-7	AXY	AxyX	AxyY	CEOB	IncQ1_1	OPRZ	OXA	OXA-114a	OXA-114b	OXA-114c	OXA-114f	OXA-114g	OXA-114h	OXA-114i	OXA-114m	OXA-114r	OXA-243	OprZ	bcrD	blaAXC-1	blaAXC-2	blaAXC-7	blaELC-1	blaELC-2	blaOXA-114a	blaOXA-114a_1	blaOXA-114b	blaOXA-114b_1	blaOXA-114c	blaOXA-114c_1	blaOXA-114f	blaOXA-114f_1	blaOXA-114g	blaOXA-114g_1	blaOXA-114h	blaOXA-114i	blaOXA-114m	blaOXA-114r	blaOXA-243	blaOXA-243_1	bplA	bplB	bplC	brkB	bscN	bscS	ceoB	cheA	cheW	fliN	fliQ
resources/abricate/argannot/P0290_PCD_28022016-0.tsv	0	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
resources/abricate/argannot/P0290_PCD_28022016-1.tsv	0	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
resources/abricate/argannot/P0690_PCD_10122023-0.tsv	1	99.52	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
resources/abricate/argannot/P0690_PCD_14042023-0.tsv	1	99.52	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
resources/abricate/argannot/P0690_PCD_18022022-0.tsv	1	99.52	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
resources/abricate/argannot/P0690_PCD_19072024-0.tsv	1	99.52	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
resources/abricate/argannot/P0690_PCD_29012021-0.tsv	1	99.52	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
resources/abricate/argannot/P0790_PCD_07012022-0.tsv	1	98.31	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
resources/abricate/argannot/P0790_PCD_19052020-0.tsv	1	98.31	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
resources/abricate/argannot/P0790_PCD_20062024-0.tsv	1	98.31	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
